-0.604183 0.572479 1.014;255.793;44 12;0
-0.666322 0.564867 1.016;748.489;25 17;1
-0.63841 0.526235 1.021;171.532;33 29;2
-0.668728 0.485168 1.019;115.193;22 43;3
-0.677501 0.462383 1.021;51.4836;19 51;4
-0.687247 0.45838 1.032;7.42999;18 54;5
-0.72524 0.531765 1.003;14.6888;4 28;6
-0.726191 0.529575 1.005;36.4634;4 29;7
-0.706208 0.528312 1.001;31.3864;9 28;8
-0.737696 0.617632 0.993;1.32767;3 1;9
-0.519603 0.587272 1.016;63.6354;72 5;10
-0.721133 0.548135 0.998;43.3448;5 22;11
-0.699764 0.550055 1.002;31.7958;12 21;12
-0.691886 0.553523 1.005;5.32656;15 20;13
-0.494719 0.587982 1.021;62.8413;81 5;14
-0.719731 0.567787 0.985;35.78;4 14;15
-0.700525 0.568456 0.993;38.3111;11 14;16
-0.689818 0.571944 0.997;3.19388;15 13;17
-0.714912 0.602437 0.984;27.1268;7 3;18
-0.721936 0.58909 0.988;30.1225;5 8;19
-0.702338 0.58763 0.985;21.2004;10 7;20
-0.697899 0.594017 0.993;10.3575;13 6;21
