-0.803095 0.509508 1.222;309.642;20 63;0
-0.811477 0.577836 1.219;494.717;19 44;1
-0.890062 0.592436 1.283;69.7716;10 49;2
-0.907516 0.627103 1.277;135.966;6 40;3
-0.91717 0.661553 1.271;67.478;4 31;4
-0.920381 0.678506 1.272;21.5746;4 27;5
-0.881304 0.683897 1.278;53.0305;14 25;6
-0.89074 0.693667 1.27;44.052;11 22;7
-0.905827 0.690418 1.267;22.7939;7 23;8
-0.927629 0.692162 1.273;17.5789;3 24;9
-0.870395 0.684706 1.274;47.1296;16 24;10
-0.873681 0.720119 1.271;38.9917;16 15;11
-0.875679 0.734501 1.249;42.227;13 9;12
-inf -inf -inf;30.1569;12 5;13
-0.819504 0.6591 1.223;51.5025;20 23;14
-0.828609 0.695135 1.223;31.7437;19 14;15
-0.825607 0.710556 1.207;35.3346;18 8;16
-0.837839 0.73872 1.22;19.2551;18 3;17
-0.806307 0.634061 1.213;90.9592;21 28;18
-0.79931 0.664903 1.208;28.3467;23 19;19
-0.804724 0.68377 1.206;27.8543;22 14;20
-0.953457 0.688156 1.293;4.67929;0 28;21
