-0.685891 0.573987 1.03;117.204;22 17;0
-0.71027 0.594325 1.031;101.967;16 12;1
-0.764423 0.591171 1.073;41.2631;8 21;2
-0.762344 0.595341 1.045;52.0816;4 16;3
-0.754216 0.605209 1.047;35.0087;7 13;4
-0.72072 0.590204 1.026;22.4949;12 13;5
-0.722137 0.605714 1.03;75.5597;13 9;6
-0.727276 0.578266 1.034;27.1037;11 18;7
-0.71376 0.572199 1.025;5.53793;13 18;8
1.61325 1.60526 2.659;27.9964;469 0;9
-0.69481 0.600114 1.027;96.0177;20 9;10
-0.687582 0.570016 1.028;37.2867;21 18;11
-0.697693 0.567608 1.034;8.62258;19 20;12
-1.90714 1.59301 2.614;38.6508;6 4;13
-0.673053 0.596184 1.032;93.8669;27 10;14
-0.669749 0.56688 1.033;23.7446;27 19;15
-1.83738 1.51745 2.553;49.8988;8 8;16
1.92772 1.50494 2.718;24.0721;502 20;17
-0.659016 0.596808 1.037;28.2559;32 10;18
-0.65321 0.567789 1.039;15.1493;33 19;19
0.150177 0.674175 2.574;16.9041;277 116;20
-inf -inf -inf;13.222;33 8;21
