-0.740659 0.470197 1.11;298.954;17 61;0
-0.735302 0.525816 1.11;718.346;20 44;1
-0.707634 0.496154 1.133;104.809;31 55;2
-0.680174 0.531531 1.135;83.3645;40 44;3
-0.66664 0.549716 1.133;63.855;44 38;4
-0.664272 0.565674 1.139;21.5447;46 34;5
-0.71655 0.583963 1.116;134.066;28 27;6
-0.717921 0.616187 1.118;51.1086;29 18;7
-0.716791 0.640194 1.117;34.8305;30 11;8
-0.72678 0.665501 1.122;16.3989;29 5;9
-0.750633 0.594809 1.116;147.268;19 25;10
-0.753404 0.632044 1.112;63.5141;19 14;11
-0.766497 0.660131 1.114;45.9986;17 7;12
-0.772394 0.681401 1.118;22.7974;17 2;13
-0.778548 0.589605 1.12;123.137;12 28;14
-0.779497 0.625534 1.113;50.194;12 17;15
-0.789847 0.650628 1.117;38.3675;11 11;16
-0.800674 0.676427 1.121;25.3705;10 5;17
-0.811258 0.590733 1.129;72.8547;5 30;18
-0.820383 0.615388 1.125;28.9867;3 23;19
-0.823201 0.631301 1.119;26.9353;2 18;20
-0.831039 0.650424 1.126;22.0952;2 14;21
