-0.778402 0.481405 1.198;275.494;22 68;0
-0.779144 0.574409 1.192;894.922;23 41;1
-0.814923 0.557972 1.178;150.792;11 45;2
-0.857772 0.608479 1.191;179.277;4 34;3
-0.873074 0.647998 1.199;41.0004;3 25;4
-0.870034 0.655227 1.199;9.12684;4 23;5
-0.830972 0.662042 1.201;103.15;14 20;6
-0.838705 0.689655 1.2;51.1515;13 13;7
-0.83424 0.706095 1.195;33.0944;14 8;8
-0.824992 0.717875 1.19;15.5983;16 4;9
-0.798361 0.654432 1.202;132.276;22 21;10
-0.794429 0.684758 1.195;56.3187;23 12;11
-0.792481 0.706567 1.193;47.5165;24 6;12
-inf -inf -inf;19.0948;24 2;13
-0.764256 0.642461 1.193;112.802;29 22;14
-0.754391 0.666697 1.184;46.411;31 14;15
-0.751537 0.68732 1.181;54.3161;32 8;16
-inf -inf -inf;24.3334;31 4;17
-0.735764 0.621992 1.187;68.0934;35 26;18
-0.723673 0.640169 1.182;42.0133;38 20;19
-0.717847 0.65121 1.176;28.6845;39 16;20
-0.719538 0.666037 1.176;21.3202;39 12;21
