-0.789863 0.510976 1.219;282.968;23 62;0
-0.807495 0.594585 1.216;830.391;20 39;1
-0.830962 0.558758 1.203;142.866;11 48;2
-0.866503 0.617126 1.209;180.145;5 34;3
-0.880182 0.665516 1.219;41.931;5 23;4
-0.779427 0.463273 1.226;2.19936;26 76;5
-0.857848 0.662633 1.211;60.1883;9 22;6
-0.865863 0.694107 1.209;49.9127;8 14;7
-0.864278 0.713176 1.208;40.3627;9 9;8
-0.860703 0.730647 1.204;23.0614;10 4;9
-0.835205 0.664708 1.214;80.4939;15 21;10
-0.837957 0.691893 1.205;55.6785;14 13;11
-0.834819 0.716465 1.2;50.2625;15 6;12
-0.834034 0.736189 1.2;25.6764;16 1;13
-0.811675 0.663142 1.209;59.0583;20 20;14
-0.812279 0.684329 1.205;45.2137;20 14;15
-0.818676 0.707569 1.203;47.1265;19 8;16
-0.819872 0.725936 1.2;22.6151;19 3;17
-0.785776 0.651918 1.208;34.9522;26 22;18
-0.790929 0.670502 1.206;23.9139;25 17;19
-0.791177 0.681008 1.204;26.6457;25 14;20
-0.801422 0.700693 1.21;11.1982;24 10;21
