-0.595114 0.476654 0.986;303.786;39 39;0
-0.657023 0.490075 0.983;483.675;19 36;1
-0.648739 0.537742 1.003;179.919;27 23;2
-0.685853 0.583641 1.016;66.2674;20 12;3
-0.705305 0.608244 1.013;42.3328;15 5;4
-0.71119 0.625147 1.018;9.16439;15 1;5
-0.711239 0.53138 0.992;61.9341;6 26;6
-0.726166 0.549766 1;8.38069;4 22;7
-0.718622 0.554176 0.998;2.98453;6 20;8
-0.735126 0.618531 1.024;1.5166;9 5;9
-0.700237 0.495097 0.983;59.1413;6 36;10
-0.732038 0.52467 0.999;3.99399;1 30;11
-0.703876 0.59238 1.015;4.81782;15 10;12
-0.70788 0.616351 1.015;7.98029;15 3;13
-0.702363 0.476896 0.99;44.8519;6 43;14
-0.703747 0.551546 0.997;4.00062;10 20;15
-0.703951 0.579702 1.03;4.52518;17 16;16
-0.669661 0.608895 0.999;1.89969;23 1;17
-0.70604 0.466152 1.008;32.9534;8 49;18
-0.572595 0.464712 0.996;10.2112;48 44;19
-0.710992 0.549849 0.998;1.34918;8 21;20
-0.734154 0.555814 1.011;1.11296;4 22;21
