-0.740281 0.473061 1.109;298.582;17 60;0
-0.733002 0.527284 1.106;673.756;20 43;1
-0.703887 0.493526 1.127;113.59;31 55;2
-0.678376 0.530126 1.132;82.2905;40 44;3
-0.664875 0.548261 1.13;60.0942;44 38;4
-0.661083 0.559802 1.134;21.0301;46 35;5
-0.709347 0.577514 1.111;135.961;29 28;6
-0.712968 0.614649 1.116;48.8576;30 18;7
-0.714866 0.638474 1.114;31.4122;30 11;8
-0.724189 0.663128 1.118;14.3706;29 5;9
-0.740412 0.586057 1.107;154.394;20 26;10
-0.750017 0.629202 1.107;62.1148;19 14;11
-0.767185 0.660723 1.115;45.5675;17 7;12
-0.76894 0.678354 1.113;24.3791;17 2;13
-0.777158 0.588552 1.118;117.605;12 28;14
-0.778232 0.621323 1.112;47.8264;12 18;15
-0.786567 0.650587 1.118;39.3347;12 11;16
-0.800702 0.67319 1.122;24.8335;10 6;17
-0.809821 0.589687 1.127;74.5644;5 30;18
-0.817466 0.6132 1.121;29.8218;3 23;19
-0.826964 0.630925 1.125;27.0617;2 19;20
-0.830301 0.649847 1.125;23.1219;2 14;21
