-0.597162 0.571228 1.013;275.467;46 12;0
-0.66501 0.563755 1.014;752.629;25 17;1
-0.636953 0.519835 1.014;169.238;32 30;2
-0.663477 0.483429 1.016;107.182;23 43;3
-0.677501 0.462383 1.021;44.015;19 51;4
-0.68829 0.456178 1.034;9.30325;18 55;5
-0.727863 0.534457 1.001;19.055;3 27;6
-0.724024 0.527994 1.002;32.5552;4 29;7
-0.704797 0.527257 0.999;30.6302;9 28;8
-0.741331 0.623143 1.003;1.91783;4 1;9
-0.534427 0.582337 1.016;54.9335;67 7;10
-0.721083 0.545918 0.993;43.324;4 22;11
-0.69905 0.547247 0.996;34.7067;11 21;12
-0.692106 0.550821 1.006;5.67078;15 21;13
-0.507172 0.583169 1.016;53.9918;76 6;14
-0.71827 0.566634 0.983;34.8927;4 14;15
-0.697703 0.566166 0.989;35.5917;11 14;16
-0.687208 0.56929 0.999;2.57529;16 14;17
-0.713459 0.601212 0.982;25.8788;7 3;18
-0.719013 0.586705 0.984;29.214;5 8;19
-0.703763 0.586434 0.982;21.4649;9 7;20
-0.69652 0.590408 0.986;9.60054;12 6;21
