-0.800175 0.504258 1.218;335.464;20 64;0
-0.816129 0.578702 1.22;534.119;18 44;1
-0.875928 0.586596 1.262;80.0312;10 48;2
-0.903165 0.625211 1.264;143.563;5 39;3
-0.911399 0.658397 1.256;66.5005;3 30;4
-0.918221 0.681506 1.261;17.566;3 25;5
-0.886506 0.681442 1.28;52.0817;13 26;6
-0.889543 0.689914 1.262;36.8629;10 22;7
-0.900035 0.689624 1.258;21.1921;7 22;8
-0.87971 0.74264 1.239;6.2096;11 6;9
-0.864379 0.676363 1.266;71.8489;16 25;10
-0.866807 0.714453 1.261;57.1782;16 15;11
-0.86357 0.727344 1.238;50.0908;14 9;12
-inf -inf -inf;28.9584;14 4;13
-0.842957 0.677962 1.258;61.8822;20 23;14
-0.836547 0.704774 1.241;37.3082;20 14;15
-0.821944 0.71341 1.214;40.9762;20 8;16
-0.825351 0.727297 1.209;23.7625;19 4;17
-0.797197 0.626167 1.206;97.1648;22 29;18
-0.791474 0.65781 1.203;31.6294;24 20;19
-0.793454 0.673681 1.196;27.8658;23 15;20
-0.793099 0.683612 1.193;16.099;23 12;21
