-0.784287 0.439909 1.218;275.75;23 82;0
-0.778899 0.517307 1.182;795.509;20 56;1
-0.832992 0.529464 1.211;50.7029;11 57;2
-0.796803 0.555341 1.15;123.222;11 42;3
-0.772618 0.580377 1.149;50.5265;18 34;4
-0.868676 0.693587 1.173;5.634;2 10;5
-0.836162 0.633137 1.177;67.7836;8 25;6
-0.846439 0.660274 1.167;48.2298;5 17;7
-0.859154 0.685299 1.167;44.9824;3 11;8
-0.873263 0.711028 1.175;32.2631;2 6;9
-0.802076 0.630961 1.174;105.244;16 24;10
-0.78924 0.65932 1.159;78.1759;18 14;11
-0.77853 0.679035 1.149;48.1983;20 7;12
-0.772242 0.695854 1.147;26.4502;22 2;13
-0.766069 0.587608 1.143;35.6198;19 31;14
-0.766069 0.587608 1.143;17.1089;19 31;15
-0.760481 0.568019 1.156;19.6384;22 38;16
-0.778274 0.692029 1.145;2.55207;20 3;17
-0.863863 0.625591 1.203;16.7386;5 31;18
-0.855975 0.636962 1.188;13.2462;5 26;19
-0.744888 0.576538 1.147;10.5927;25 34;20
-0.767043 0.687543 1.147;5.23876;23 4;21
