-0.737117 0.480567 1.203;284.168;34 68;0
-0.75997 0.57008 1.186;914.864;27 41;1
-0.792522 0.540727 1.176;237.467;16 49;2
-0.84312 0.589363 1.185;171.699;6 38;3
-0.862056 0.622751 1.188;23.1272;3 30;4
-0.851154 0.665122 1.193;6.51728;8 19;5
-0.821494 0.645018 1.183;123.61;13 22;6
-0.836003 0.672224 1.18;50.618;10 15;7
-0.831514 0.682161 1.17;27.2494;10 11;8
-0.831397 0.695611 1.166;11.5207;10 7;9
-0.792387 0.646765 1.187;138.083;21 21;10
-0.793861 0.675553 1.176;65.5749;20 12;11
-0.798819 0.697162 1.172;35.36;19 6;12
-0.787752 0.703801 1.158;17.5565;20 2;13
-0.760438 0.636442 1.181;108.23;28 22;14
-0.757447 0.66723 1.169;59.3666;28 12;15
-0.766673 0.686174 1.167;48.4088;26 7;16
-0.762381 0.695618 1.157;22.1147;26 3;17
-0.725722 0.626216 1.175;75.8849;36 23;18
-0.723198 0.643804 1.167;34.6218;36 17;19
-0.724305 0.657988 1.166;34.0205;36 13;20
-0.719846 0.670106 1.162;21.8095;37 9;21
