-0.790877 0.508231 1.221;289.607;23 63;0
-0.808159 0.595074 1.217;844.008;20 39;1
-0.836078 0.558779 1.211;134.744;11 49;2
-0.873455 0.623077 1.212;176.909;4 33;3
-0.885237 0.669337 1.226;40.1143;5 23;4
-0.878476 0.677449 1.22;6.41736;6 20;5
-0.859874 0.667686 1.213;57.9725;9 21;6
-0.868728 0.696403 1.213;47.4296;8 14;7
-0.869295 0.720842 1.214;38.2667;9 8;8
-0.859878 0.732932 1.209;22.744;11 4;9
-0.835771 0.668634 1.214;84.083;15 20;10
-0.841434 0.694764 1.21;57.5613;14 13;11
-0.837602 0.718853 1.204;53.4098;15 6;12
-0.837509 0.739257 1.205;24.9396;16 1;13
-0.813689 0.664787 1.212;58.0026;20 20;14
-0.812953 0.684897 1.206;43.166;20 14;15
-0.81585 0.708122 1.205;46.1881;20 8;16
-0.826021 0.73138 1.209;24.1092;19 3;17
-0.786427 0.652457 1.209;37.5504;26 22;18
-0.792241 0.671614 1.208;23.3792;25 17;19
-0.795657 0.688316 1.21;27.815;25 13;20
-0.802747 0.701851 1.212;11.8755;24 10;21
