-0.584686 0.466666 0.985;316.341;42 42;0
-0.653433 0.481144 0.984;511.94;20 39;1
-0.637927 0.522692 0.993;218.035;28 26;2
-0.677561 0.566025 0.995;87.7598;18 14;3
-0.691685 0.588302 0.99;52.6284;14 7;4
-0.706712 0.610656 0.997;9.35145;12 2;5
-0.705039 0.515445 0.986;68.8521;6 30;6
-0.722046 0.530185 0.993;5.52467;3 27;7
-0.707847 0.541698 0.995;2.5749;8 23;8
-0.698262 0.602963 0.991;2.59939;13 3;9
-0.700002 0.483709 0.985;64.1167;6 40;10
-0.728461 0.515546 1.001;3.15062;2 33;11
-0.683882 0.577511 0.997;6.5624;17 11;12
-0.698199 0.605405 0.996;3.56701;14 3;13
-0.693438 0.463434 0.989;47.3567;8 47;14
-0.56615 0.453482 0.991;7.07813;49 47;15
-0.699967 0.545102 0.998;2.93474;11 22;16
-0.669661 0.608895 0.999;1.89969;23 1;17
-0.696674 0.454214 1.011;25.5371;11 53;18
-0.557083 0.455032 0.996;9.45349;53 47;19
-0.705001 0.53952 0.991;1.05562;8 23;20
-0.734154 0.555814 1.011;1.11296;4 22;21
