-0.737249 0.468873 1.116;300.686;19 62;0
-0.731699 0.525471 1.11;709.511;21 44;1
-0.704742 0.496337 1.134;108.022;32 55;2
-0.678476 0.532676 1.138;83.4995;41 44;3
-0.666361 0.555262 1.138;58.2832;45 37;4
-0.659931 0.561507 1.138;18.3807;47 35;5
-0.714201 0.584619 1.118;140.034;29 27;6
-0.715523 0.616852 1.12;51.2878;30 18;7
-0.716149 0.639621 1.116;39.3446;30 11;8
-0.723541 0.662535 1.117;16.5874;29 5;9
-0.745762 0.590292 1.115;155.014;20 26;10
-0.752873 0.628416 1.112;65.3462;19 15;11
-0.761218 0.658345 1.112;52.1218;18 7;12
-0.772394 0.681401 1.118;25.0308;17 2;13
-0.774015 0.588589 1.119;125.67;13 28;14
-0.775595 0.624969 1.113;49.1193;13 17;15
-0.790478 0.654381 1.117;34.3943;11 10;16
-0.801415 0.67379 1.123;24.4464;10 6;17
-0.80443 0.588109 1.125;70.5051;6 30;18
-0.81357 0.609469 1.122;29.6549;4 24;19
-0.817745 0.626362 1.118;25.9638;3 19;20
-0.824746 0.644789 1.124;21.8329;3 15;21
